library,stage,profiler,filename,line,total_time_s,hits,code
dstpy,step1,line,external/dst-py/src/dempster_shafer/core/mass_function.py,75,0.660101,5760,self[_convert_to_frozenset(h)] = float(v)
dstpy,step1,line,external/dst-py/src/dempster_shafer/core/mass_function.py,191,0.305885,6250,"return sum(m for h, m in self.items() if h.intersection(hypothesis))"
dstpy,step1,line,external/dst-py/src/dempster_shafer/core/mass_function.py,171,0.287426,6040,"return sum(m for h, m in self.items() if h.issubset(hypothesis))"
dstpy,step1,line,external/dst-py/src/dempster_shafer/core/mass_function.py,85,0.194241,1920,if not self.is_normalized():
dstpy,step1,line,external/dst-py/src/dempster_shafer/core/mass_function.py,66,0.19039,1920,self.frame = Frame(frame)
dstpy,step2,line,external/dst-py/src/dempster_shafer/core/mass_function.py,236,0.075961,40,"return combine_conjunctive(self, other, normalization=normalization)"
dstpy,step2,line,external/dst-py/src/dempster_shafer/core/mass_function.py,66,0.065989,700,self.frame = Frame(frame)
dstpy,step2,line,external/dst-py/src/dempster_shafer/core/mass_function.py,75,0.063444,590,self[_convert_to_frozenset(h)] = float(v)
dstpy,step2,line,external/dst-py/src/dempster_shafer/core/mass_function.py,191,0.050174,1140,"return sum(m for h, m in self.items() if h.intersection(hypothesis))"
dstpy,step2,line,external/dst-py/src/dempster_shafer/core/mass_function.py,171,0.049017,1140,"return sum(m for h, m in self.items() if h.issubset(hypothesis))"
dstpy,step3,line,external/dst-py/src/dempster_shafer/core/mass_function.py,75,0.844994,7550,self[_convert_to_frozenset(h)] = float(v)
dstpy,step3,line,external/dst-py/src/dempster_shafer/core/mass_function.py,191,0.259401,5150,"return sum(m for h, m in self.items() if h.intersection(hypothesis))"
dstpy,step3,line,external/dst-py/src/dempster_shafer/core/mass_function.py,86,0.22696,320,self.normalize()
dstpy,step3,line,external/dst-py/src/dempster_shafer/core/mass_function.py,171,0.222628,4640,"return sum(m for h, m in self.items() if h.issubset(hypothesis))"
dstpy,step3,line,external/dst-py/src/dempster_shafer/core/mass_function.py,236,0.209164,40,"return combine_conjunctive(self, other, normalization=normalization)"
dstpy,step4,line,external/dst-py/src/dempster_shafer/core/mass_function.py,75,0.318057,2880,self[_convert_to_frozenset(h)] = float(v)
dstpy,step4,line,external/dst-py/src/dempster_shafer/core/mass_function.py,191,0.1305,2720,"return sum(m for h, m in self.items() if h.intersection(hypothesis))"
dstpy,step4,line,external/dst-py/src/dempster_shafer/core/mass_function.py,171,0.1074,2350,"return sum(m for h, m in self.items() if h.issubset(hypothesis))"
dstpy,step4,line,external/dst-py/src/dempster_shafer/core/mass_function.py,73,0.083647,3620,"for h, v in masses.items():"
dstpy,step4,line,external/dst-py/src/dempster_shafer/core/mass_function.py,21,0.081991,3520,"if isinstance(item, frozenset):"
dstz,step1,line,external/dstz/dstz/core/distribution.py,74,0.435237,770,"return super(Evidence, self).__getitem__(item)"
dstz,step1,line,external/dstz/dstz/math/func.py,19,0.357054,490,res += ev[key]
dstz,step1,line,external/dstz/dstz/math/func.py,63,0.20637,280,res += ev[key]
dstz,step1,line,external/dstz/dstz/core/atom.py,68,0.181723,770,"if not isinstance(value, Hashable):"
dstz,step1,line,external/dstz/dstz/core/atom.py,91,0.18036,1920,"super(Element, self).__init__()"
dstz,step2,line,external/dstz/dstz/evpiece/dual.py,33,0.691043,210,res[key] += ev1[key1] * ev2[key2]
dstz,step2,line,external/dstz/dstz/core/distribution.py,74,0.546416,900,"return super(Evidence, self).__getitem__(item)"
dstz,step2,line,external/dstz/dstz/core/distribution.py,55,0.462987,670,"super(Evidence, self).__setitem__(key, value)"
dstz,step2,line,external/dstz/dstz/core/atom.py,68,0.44598,1910,"if not isinstance(value, Hashable):"
dstz,step2,line,external/dstz/dstz/core/atom.py,66,0.229762,3820,for attr in self.idattr:
dstz,step3,line,external/dstz/dstz/core/distribution.py,55,4.789992,8530,"super(Evidence, self).__setitem__(key, value)"
dstz,step3,line,external/dstz/dstz/core/atom.py,68,2.985918,13580,"if not isinstance(value, Hashable):"
dstz,step3,line,external/dstz/dstz/core/distribution.py,74,2.256994,3990,"return super(Evidence, self).__getitem__(item)"
dstz,step3,line,external/dstz/dstz/evpiece/dual.py,33,1.785726,550,res[key] += ev1[key1] * ev2[key2]
dstz,step3,line,external/dstz/dstz/core/atom.py,66,1.603841,27160,for attr in self.idattr:
our,step1,line,src/core/dempster_core.py,43,0.354972,6250,"return sum(mass for subset, mass in bpa.items() if subset.intersection(event_fs))"
our,step1,line,src/core/dempster_core.py,38,0.32985,6040,"return sum(mass for subset, mass in bpa.items() if subset.issubset(event_fs))"
our,step1,line,src/core/dempster_core.py,11,0.046678,1920,self.frame = frame_of_discernment
our,step1,line,src/core/dempster_core.py,10,0.035413,1920,"def __init__(self, frame_of_discernment: Set[str]):"
our,step1,line,src/core/dempster_core.py,42,0.014026,480,event_fs = frozenset(event)
our,step2,line,src/core/dempster_core.py,43,0.049593,1140,"return sum(mass for subset, mass in bpa.items() if subset.intersection(event_fs))"
our,step2,line,src/core/dempster_core.py,38,0.049176,1140,"return sum(mass for subset, mass in bpa.items() if subset.issubset(event_fs))"
our,step2,line,src/core/dempster_core.py,11,0.012925,660,self.frame = frame_of_discernment
our,step2,line,src/core/dempster_core.py,10,0.010585,660,"def __init__(self, frame_of_discernment: Set[str]):"
our,step3,line,src/core/dempster_core.py,43,0.314275,5150,"return sum(mass for subset, mass in bpa.items() if subset.intersection(event_fs))"
our,step3,line,src/core/dempster_core.py,38,0.269147,4640,"return sum(mass for subset, mass in bpa.items() if subset.issubset(event_fs))"
our,step3,line,src/core/dempster_core.py,50,0.029376,1200,"for s2, m2 in bpa2.items():"
our,step3,line,src/core/dempster_core.py,60,0.028849,1200,"for s2, m2 in bpa2.items():"
our,step3,line,src/core/dempster_core.py,51,0.025832,960,if s1.isdisjoint(s2):
our,step4,line,src/core/dempster_core.py,43,0.15302,2720,"return sum(mass for subset, mass in bpa.items() if subset.intersection(event_fs))"
our,step4,line,src/core/dempster_core.py,38,0.120167,2350,"return sum(mass for subset, mass in bpa.items() if subset.issubset(event_fs))"
our,step4,line,src/core/dempster_core.py,11,0.014584,660,self.frame = frame_of_discernment
pyds,step1,line,external/py_dempster_shafer/pyds.py,254,0.107195,3840,"return fsum([v for (h, v) in self.items() if h and hypothesis.issuperset(h)])"
pyds,step1,line,external/py_dempster_shafer/pyds.py,271,0.105953,3840,"return fsum([v for (h, v) in self.items() if hypothesis & h])"
pyds,step1,line,external/py_dempster_shafer/pyds.py,267,0.103174,960,hypothesis = MassFunction._convert(hypothesis)
pyds,step1,line,external/py_dempster_shafer/pyds.py,250,0.103059,960,hypothesis = MassFunction._convert(hypothesis)
pyds,step1,line,external/py_dempster_shafer/pyds.py,52,0.044257,1920,"if isinstance(hypothesis, frozenset):"
pyds,step2,line,external/py_dempster_shafer/pyds.py,355,0.200323,640,"return self._combine(mass_function, rule=lambda s1, s2: s1 & s2, normalization=normalization, sample_count=sample_count, importance_sampling=importance_sampling)"
pyds,step2,line,external/py_dempster_shafer/pyds.py,395,0.146945,40,"combined = combined._combine_deterministic(m, rule)"
pyds,step2,line,external/py_dempster_shafer/pyds.py,47,0.138349,320,self[h] += v
pyds,step2,line,external/py_dempster_shafer/pyds.py,411,0.127834,300,"combined[rule(h1, h2)] += v1 * v2"
pyds,step2,line,external/py_dempster_shafer/pyds.py,173,0.099007,620,"return dict.__getitem__(self, MassFunction._convert(hypothesis))"
